file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.096864806,0.009038074,0.007783533,0.04888915,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.089422653,0.00857756,0.036714389,0.047501127,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.093106078,0.008470578,0.012093477,0.050228422,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.091539396,0.008679222,0.017284238,0.047620832,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.095840614,0.008508291,0.025714702,0.040491929,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.093826545,0.008645375,0.006371685,0.048384513,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.106446577,0.005285753,0.215931091,0.036072149,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.103621843,0.005286416,0.228332037,0.039148766,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.101785961,0.007299782,0.031165155,0.03174109,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.107081651,0.005031135,0.225476101,0.034108073,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.099063435,0.006206726,0.297346716,0.029941852,,,,,,,,,,,,,,,
DTLZ2,8,PSA,0.102655055,0.005969969,0.156432997,0.038248841,,,,,,,,,,,,,,,
